id,UID,FRIEND_UID,USER_SOCIAL_ID,FRIEND_SOCIAL_ID,SOCIAL_TYPE,REASON,CREATED_AT,UPDATED_AT
1,dPWVZJI7ARZ03iRTVe3CN5N3rqW2,kMd8t39MClgYX4Ws4vEKMCenAKj1,1988442824555826,2162902510437960,facebook,upload_friends uploader,2019-05-10 16:17:51,2019-05-10 16:17:51
2,kMd8t39MClgYX4Ws4vEKMCenAKj1,dPWVZJI7ARZ03iRTVe3CN5N3rqW2,2162902510437960,1988442824555826,facebook,upload_friends,2019-05-10 16:17:51,2019-05-10 16:17:51
3,N1NsVRpcnERKu1lo5gOoErtf2oe2,kMd8t39MClgYX4Ws4vEKMCenAKj1,101036697106701878037,2162902510437960,facebook,upload_friends uploader,2019-05-19 02:32:10,2019-05-19 02:32:10
4,kMd8t39MClgYX4Ws4vEKMCenAKj1,N1NsVRpcnERKu1lo5gOoErtf2oe2,2162902510437960,101036697106701878037,facebook,upload_friends,2019-05-19 02:32:10,2019-05-19 02:32:10
5,N1NsVRpcnERKu1lo5gOoErtf2oe2,cM5pLRZ4dXQFM6kw1ZuLrR1QAQU2,101036697106701878037,105956623910486,facebook,upload_friends uploader,2019-05-19 02:32:10,2019-05-19 02:32:10
6,cM5pLRZ4dXQFM6kw1ZuLrR1QAQU2,N1NsVRpcnERKu1lo5gOoErtf2oe2,105956623910486,101036697106701878037,facebook,upload_friends,2019-05-19 02:32:10,2019-05-19 02:32:10
7,GH1h35OTWOPOlzX6yFQeZJMggRZ2,cM5pLRZ4dXQFM6kw1ZuLrR1QAQU2,102162630954802,105956623910486,facebook,upload_friends uploader,2019-05-20 01:19:41,2019-05-20 01:19:41
8,cM5pLRZ4dXQFM6kw1ZuLrR1QAQU2,GH1h35OTWOPOlzX6yFQeZJMggRZ2,105956623910486,102162630954802,facebook,upload_friends,2019-05-20 01:19:41,2019-05-20 01:19:41
9,T3dLFFhVBBS45rMF293Gh2Q0TUg2,GH1h35OTWOPOlzX6yFQeZJMggRZ2,103679890801907,102162630954802,facebook,upload_friends uploader,2019-05-20 16:23:07,2019-05-20 16:23:07
10,GH1h35OTWOPOlzX6yFQeZJMggRZ2,T3dLFFhVBBS45rMF293Gh2Q0TUg2,102162630954802,103679890801907,facebook,upload_friends,2019-05-20 16:23:08,2019-05-20 16:23:08
11,T3dLFFhVBBS45rMF293Gh2Q0TUg2,cM5pLRZ4dXQFM6kw1ZuLrR1QAQU2,103679890801907,105956623910486,facebook,upload_friends uploader,2019-05-20 16:23:08,2019-05-20 16:23:08
12,cM5pLRZ4dXQFM6kw1ZuLrR1QAQU2,T3dLFFhVBBS45rMF293Gh2Q0TUg2,105956623910486,103679890801907,facebook,upload_friends,2019-05-20 16:23:08,2019-05-20 16:23:08
13,bIcpilDZUMTbPy3apH0E39LCpQj1,T3dLFFhVBBS45rMF293Gh2Q0TUg2,113730190816558660775,103679890801907,ondee,referer,2019-05-20 16:32:42,2019-05-20 16:32:42
14,T3dLFFhVBBS45rMF293Gh2Q0TUg2,bIcpilDZUMTbPy3apH0E39LCpQj1,103679890801907,113730190816558660775,ondee,referee,2019-05-20 16:32:42,2019-05-20 16:32:42
15,N1NsVRpcnERKu1lo5gOoErtf2oe2,T3dLFFhVBBS45rMF293Gh2Q0TUg2,101036697106701878037,103679890801907,facebook,upload_friends uploader,2019-05-27 02:37:40,2019-05-27 02:37:40
16,T3dLFFhVBBS45rMF293Gh2Q0TUg2,N1NsVRpcnERKu1lo5gOoErtf2oe2,103679890801907,101036697106701878037,facebook,upload_friends,2019-05-27 02:37:40,2019-05-27 02:37:40
17,N1NsVRpcnERKu1lo5gOoErtf2oe2,GH1h35OTWOPOlzX6yFQeZJMggRZ2,101036697106701878037,102162630954802,facebook,upload_friends uploader,2019-05-27 02:37:40,2019-05-27 02:37:40
18,GH1h35OTWOPOlzX6yFQeZJMggRZ2,N1NsVRpcnERKu1lo5gOoErtf2oe2,102162630954802,101036697106701878037,facebook,upload_friends,2019-05-27 02:37:40,2019-05-27 02:37:40
19,SAsRlRQKoEWCrW0TSaQEUsjR3sk2,kGkn8N3T0pVMvLY1wCc3cgHkBCM2,107099773773243766830,kGkn8N3T0pVMvLY1wCc3cgHkBCM2,ondee,referer,2019-05-30 09:15:05,2019-05-30 09:15:05
